Date,RELIANCE.NS,TCS.NS,DABUR.NS,SUNPHARMA.NS,SBIN.NS,ITC.NS,NTPC.NS
2011-05-31,393.9466857910156,450.1490478515625,101.91083526611328,233.72962951660156,132.36746215820312,104.28449249267578,109.46057891845703
2011-06-30,363.01416015625,438.1513671875,93.55010223388672,243.25909423828125,129.0729217529297,109.41588592529297,103.13540649414062
2011-07-31,343.1304016113281,403.80865478515625,99.57398223876953,230.77223205566406,108.65068817138672,105.03058624267578,99.15264129638672
2011-08-31,354.42047119140625,401.8330383300781,92.60604858398438,217.11178588867188,105.19652557373047,103.98055267333984,98.18630981445312
2011-09-30,384.7611389160156,432.24273681640625,91.0776138305664,240.2250213623047,104.93505859375,111.93663024902344,105.58395385742188
2011-10-31,341.2231750488281,434.5603942871094,85.68309783935547,250.249267578125,97.0166244506836,105.39846801757812,95.6295394897461
2011-11-30,303.82342529296875,452.1291809082031,89.90880584716797,236.98678588867188,89.12296295166016,105.71355438232422,94.74600219726562
2011-12-31,358.2569274902344,441.12445068359375,85.1624755859375,261.2021179199219,113.48375701904297,107.10547637939453,101.43125915527344
2012-01-31,359.8572998046875,478.64630126953125,94.06747436523438,262.10693359375,123.71965026855469,109.04801940917969,109.31746673583984
2012-02-29,329.1000671386719,457.8271789550781,96.37283325195312,271.4168701171875,115.39663696289062,119.15778350830078,98.26799774169922
2012-03-31,326.6885681152344,488.3019104003906,101.11914825439453,287.2032775878906,117.69483947753906,128.92564392089844,98.1172866821289
2012-04-30,309.36981201171875,487.8122253417969,94.2934799194336,269.9882507324219,113.17826080322266,120.44410705566406,88.63717651367188
2012-05-31,331.4890441894531,500.38604736328125,103.56009674072266,302.7754211425781,144.76171875,135.96243286132812,96.27545928955078
2012-06-30,334.0722961425781,493.4569091796875,108.57308959960938,311.2519836425781,134.44265747070312,139.50526428222656,94.79589080810547
2012-07-31,344.3155212402344,535.8031005859375,111.53086853027344,318.2999267578125,123.19496154785156,144.6388397216797,101.46833801269531
2012-08-31,376.12335205078125,516.7236938476562,116.4908447265625,335.4094543457031,150.2330322265625,147.20603942871094,101.49803161621094
2012-09-30,361.8817138671875,524.5388793945312,113.16902923583984,334.73431396484375,141.49301147460938,152.69139099121094,100.19475555419922
2012-10-31,356.5804443359375,526.3487548828125,117.1474609375,342.30517578125,145.51939392089844,161.31056213378906,98.40670776367188
2012-11-30,377.1791076660156,503.0557861328125,117.92509460449219,355.03582763671875,159.94862365722656,154.9878387451172,94.8015365600586
2012-12-31,398.3394470214844,538.4261474609375,121.40151977539062,346.2353210449219,163.46876525878906,166.25527954101562,95.19564819335938
2013-01-31,365.6330261230469,610.4444580078125,115.63795471191406,386.814208984375,139.52508544921875,159.310791015625,91.4384994506836
2013-02-28,347.2356872558594,634.0856323242188,125.28968811035156,394.91558837890625,138.97862243652344,167.22801208496094,86.01544189453125
2013-03-31,354.10943603515625,554.6715087890625,135.2158966064453,458.6170959472656,151.82211303710938,177.71156311035156,98.27761840820312
